"","Economy","Region","Parameter","Rank"
"426","Italy","Western Europe","Dealing.with.Construction.Permits",96
"427","Armenia","Central and Eastern Europe","Dealing.with.Construction.Permits",89
"428","Hungary","Central and Eastern Europe","Dealing.with.Construction.Permits",90
"429","Mexico","Latin America and Caribbean","Dealing.with.Construction.Permits",87
"430","Bulgaria","Central and Eastern Europe","Dealing.with.Construction.Permits",51
"431","Croatia","Central and Eastern Europe","Dealing.with.Construction.Permits",126
"432","Belgium","Western Europe","Dealing.with.Construction.Permits",39
"433","Cyprus","Western Europe","Dealing.with.Construction.Permits",120
"434","Israel","Middle East and Northern Africa","Dealing.with.Construction.Permits",65
"435","Chile","Latin America and Caribbean","Dealing.with.Construction.Permits",15
"436","Brunei Darussalam",NA,"Dealing.with.Construction.Permits",48
"437","Azerbaijan","Central and Eastern Europe","Dealing.with.Construction.Permits",161
"438","Peru","Latin America and Caribbean","Dealing.with.Construction.Permits",61
"439","Colombia","Latin America and Caribbean","Dealing.with.Construction.Permits",81
"440","Turkey","Middle East and Northern Africa","Dealing.with.Construction.Permits",96
"441","Costa Rica","Latin America and Caribbean","Dealing.with.Construction.Permits",70
"442","Mongolia","Eastern Asia","Dealing.with.Construction.Permits",23
"443","Luxembourg","Western Europe","Dealing.with.Construction.Permits",7
"444","Puerto Rico (U.S.)",NA,"Dealing.with.Construction.Permits",138
"445","Albania","Central and Eastern Europe","Dealing.with.Construction.Permits",106
"446","Bahrain","Middle East and Northern Africa","Dealing.with.Construction.Permits",47
"447","Greece","Western Europe","Dealing.with.Construction.Permits",58
"448","Vietnam","Southeastern Asia","Dealing.with.Construction.Permits",20
"449","Morocco","Middle East and Northern Africa","Dealing.with.Construction.Permits",17
"450","Jamaica","Latin America and Caribbean","Dealing.with.Construction.Permits",98
"451","Oman","Middle East and Northern Africa","Dealing.with.Construction.Permits",60
"452","Indonesia","Southeastern Asia","Dealing.with.Construction.Permits",108
"453","El Salvador","Latin America and Caribbean","Dealing.with.Construction.Permits",139
"454","Uzbekistan","Central and Eastern Europe","Dealing.with.Construction.Permits",135
"455","Bhutan","Southern Asia","Dealing.with.Construction.Permits",82
"456","Ukraine","Central and Eastern Europe","Dealing.with.Construction.Permits",35
"457","Kyrgyz Republic",NA,"Dealing.with.Construction.Permits",31
"458","China","Eastern Asia","Dealing.with.Construction.Permits",172
"459","Panama","Latin America and Caribbean","Dealing.with.Construction.Permits",88
"460","Kenya","Sub-Saharan Africa","Dealing.with.Construction.Permits",124
"461","Botswana","Sub-Saharan Africa","Dealing.with.Construction.Permits",59
"462","South Africa","Sub-Saharan Africa","Dealing.with.Construction.Permits",94
"463","Qatar","Middle East and Northern Africa","Dealing.with.Construction.Permits",19
"464","Malta","Western Europe","Dealing.with.Construction.Permits",45
"465","Zambia","Sub-Saharan Africa","Dealing.with.Construction.Permits",69
"466","Bosnia and Herzegovina","Central and Eastern Europe","Dealing.with.Construction.Permits",166
"467","Samoa",NA,"Dealing.with.Construction.Permits",83
"468","Tunisia","Middle East and Northern Africa","Dealing.with.Construction.Permits",95
"469","Tonga",NA,"Dealing.with.Construction.Permits",13
"470","Vanuatu",NA,"Dealing.with.Construction.Permits",151
"471","St. Lucia",NA,"Dealing.with.Construction.Permits",34
"472","Saudi Arabia","Middle East and Northern Africa","Dealing.with.Construction.Permits",38
"473","San Marino",NA,"Dealing.with.Construction.Permits",68
"474","Uruguay","Latin America and Caribbean","Dealing.with.Construction.Permits",161
"475","Seychelles",NA,"Dealing.with.Construction.Permits",131
"476","Kuwait","Middle East and Northern Africa","Dealing.with.Construction.Permits",129
"477","Guatemala","Latin America and Caribbean","Dealing.with.Construction.Permits",116
"478","Dominica",NA,"Dealing.with.Construction.Permits",74
"479","Dominican Republic","Latin America and Caribbean","Dealing.with.Construction.Permits",62
"480","India","Southern Asia","Dealing.with.Construction.Permits",181
"481","Fiji",NA,"Dealing.with.Construction.Permits",92
"482","Trinidad and Tobago","Latin America and Caribbean","Dealing.with.Construction.Permits",119
"483","Jordan","Middle East and Northern Africa","Dealing.with.Construction.Permits",110
"484","Lesotho","Sub-Saharan Africa","Dealing.with.Construction.Permits",167
"485","Nepal","Southern Asia","Dealing.with.Construction.Permits",157
"486","Namibia",NA,"Dealing.with.Construction.Permits",107
"487","Antigua and Barbuda",NA,"Dealing.with.Construction.Permits",99
"488","Paraguay","Latin America and Caribbean","Dealing.with.Construction.Permits",72
"489","Papua New Guinea",NA,"Dealing.with.Construction.Permits",117
"490","Malawi","Sub-Saharan Africa","Dealing.with.Construction.Permits",144
"491","Sri Lanka","Southern Asia","Dealing.with.Construction.Permits",76
"492","Swaziland","Sub-Saharan Africa","Dealing.with.Construction.Permits",102
"493","Philippines","Southeastern Asia","Dealing.with.Construction.Permits",101
"494","West Bank and Gaza",NA,"Dealing.with.Construction.Permits",154
"495","Honduras","Latin America and Caribbean","Dealing.with.Construction.Permits",113
"496","Solomon Islands",NA,"Dealing.with.Construction.Permits",57
"497","Argentina","Latin America and Caribbean","Dealing.with.Construction.Permits",171
"498","Ecuador","Latin America and Caribbean","Dealing.with.Construction.Permits",105
"499","Bahamas, The",NA,"Dealing.with.Construction.Permits",86
"500","Ghana","Sub-Saharan Africa","Dealing.with.Construction.Permits",131
"501","Belize",NA,"Dealing.with.Construction.Permits",114
"502","Uganda","Sub-Saharan Africa","Dealing.with.Construction.Permits",148
"503","Tajikistan","Central and Eastern Europe","Dealing.with.Construction.Permits",136
"504","Iran, Islamic Rep.",NA,"Dealing.with.Construction.Permits",25
"505","Brazil","Latin America and Caribbean","Dealing.with.Construction.Permits",170
"506","Guyana",NA,"Dealing.with.Construction.Permits",163
"507","Cabo Verde",NA,"Dealing.with.Construction.Permits",67
"508","Egypt, Arab Rep.",NA,"Dealing.with.Construction.Permits",66
"509","St. Vincent and the Grenadines",NA,"Dealing.with.Construction.Permits",44
"510","Palau",NA,"Dealing.with.Construction.Permits",85
"511","Nicaragua","Latin America and Caribbean","Dealing.with.Construction.Permits",174
"512","Barbados",NA,"Dealing.with.Construction.Permits",155
"513","Lebanon","Middle East and Northern Africa","Dealing.with.Construction.Permits",142
"514","St. Kitts and Nevis",NA,"Dealing.with.Construction.Permits",33
"515","Cambodia","Southeastern Asia","Dealing.with.Construction.Permits",179
"516","Maldives",NA,"Dealing.with.Construction.Permits",54
"517","Tanzania","Sub-Saharan Africa","Dealing.with.Construction.Permits",156
"518","Mozambique","Sub-Saharan Africa","Dealing.with.Construction.Permits",56
"519","Côte d'Ivoire",NA,"Dealing.with.Construction.Permits",152
"520","Senegal","Sub-Saharan Africa","Dealing.with.Construction.Permits",145
"521","Lao PDR",NA,"Dealing.with.Construction.Permits",40
"522","Grenada",NA,"Dealing.with.Construction.Permits",128
"523","Mali","Sub-Saharan Africa","Dealing.with.Construction.Permits",134
"524","Niger","Sub-Saharan Africa","Dealing.with.Construction.Permits",164
"525","Nigeria","Sub-Saharan Africa","Dealing.with.Construction.Permits",147
"526","Gambia, The",NA,"Dealing.with.Construction.Permits",118
"527","Pakistan","Southern Asia","Dealing.with.Construction.Permits",141
"528","Burkina Faso","Sub-Saharan Africa","Dealing.with.Construction.Permits",53
"529","Marshall Islands",NA,"Dealing.with.Construction.Permits",71
"530","Mauritania","Sub-Saharan Africa","Dealing.with.Construction.Permits",109
"531","Benin","Sub-Saharan Africa","Dealing.with.Construction.Permits",46
"532","Bolivia","Latin America and Caribbean","Dealing.with.Construction.Permits",158
"533","Guinea","Sub-Saharan Africa","Dealing.with.Construction.Permits",75
"534","Djibouti","Sub-Saharan Africa","Dealing.with.Construction.Permits",84
"535","Micronesia, Fed. Sts.",NA,"Dealing.with.Construction.Permits",137
"536","Togo","Sub-Saharan Africa","Dealing.with.Construction.Permits",173
"537","Kiribati",NA,"Dealing.with.Construction.Permits",111
"538","Comoros","Sub-Saharan Africa","Dealing.with.Construction.Permits",79
"539","Zimbabwe","Sub-Saharan Africa","Dealing.with.Construction.Permits",175
"540","Sierra Leone","Sub-Saharan Africa","Dealing.with.Construction.Permits",182
"541","Ethiopia","Sub-Saharan Africa","Dealing.with.Construction.Permits",169
"542","Madagascar","Sub-Saharan Africa","Dealing.with.Construction.Permits",183
"543","Cameroon","Sub-Saharan Africa","Dealing.with.Construction.Permits",140
"544","Burundi","Sub-Saharan Africa","Dealing.with.Construction.Permits",168
"545","Suriname","Latin America and Caribbean","Dealing.with.Construction.Permits",104
"546","Algeria","Middle East and Northern Africa","Dealing.with.Construction.Permits",146
"547","Gabon","Sub-Saharan Africa","Dealing.with.Construction.Permits",149
"548","Iraq","Middle East and Northern Africa","Dealing.with.Construction.Permits",93
"549","São Tomé and Príncipe",NA,"Dealing.with.Construction.Permits",103
"550","Sudan","Sub-Saharan Africa","Dealing.with.Construction.Permits",133
"551","Myanmar","Southeastern Asia","Dealing.with.Construction.Permits",73
"552","Liberia","Sub-Saharan Africa","Dealing.with.Construction.Permits",184
"553","Equatorial Guinea",NA,"Dealing.with.Construction.Permits",160
"554","Syrian Arab Republic",NA,"Dealing.with.Construction.Permits",186
"555","Angola","Sub-Saharan Africa","Dealing.with.Construction.Permits",80
"556","Guinea-Bissau",NA,"Dealing.with.Construction.Permits",176
"557","Bangladesh","Southern Asia","Dealing.with.Construction.Permits",130
"558","Timor-Leste",NA,"Dealing.with.Construction.Permits",159
"559","Congo, Rep.",NA,"Dealing.with.Construction.Permits",125
"560","Chad","Sub-Saharan Africa","Dealing.with.Construction.Permits",153
"561","Haiti","Latin America and Caribbean","Dealing.with.Construction.Permits",177
"562","Congo, Dem. Rep.",NA,"Dealing.with.Construction.Permits",121
"563","Afghanistan","Southern Asia","Dealing.with.Construction.Permits",185
"564","Central African Republic","Sub-Saharan Africa","Dealing.with.Construction.Permits",180
"565","Libya","Middle East and Northern Africa","Dealing.with.Construction.Permits",186
"566","Yemen, Rep.",NA,"Dealing.with.Construction.Permits",186
"567","South Sudan",NA,"Dealing.with.Construction.Permits",178
"568","Venezuela, RB",NA,"Dealing.with.Construction.Permits",143
"569","Eritrea",NA,"Dealing.with.Construction.Permits",186
"570","Somalia",NA,"Dealing.with.Construction.Permits",186
"571","New Zealand","Australia and New Zealand","Getting.Electricity",37
"572","Singapore","Southeastern Asia","Getting.Electricity",12
"573","Denmark","Western Europe","Getting.Electricity",16
"574","Korea, Rep.",NA,"Getting.Electricity",2
"575","Hong Kong SAR, China",NA,"Getting.Electricity",4
"576","United States","North America","Getting.Electricity",49
"577","United Kingdom","Western Europe","Getting.Electricity",9
"578","Norway","Western Europe","Getting.Electricity",23
"579","Georgia","Central and Eastern Europe","Getting.Electricity",30
"580","Sweden","Western Europe","Getting.Electricity",6
"581","Macedonia, FYR",NA,"Getting.Electricity",53
"582","Estonia","Central and Eastern Europe","Getting.Electricity",41
"583","Finland","Western Europe","Getting.Electricity",20
"584","Australia","Australia and New Zealand","Getting.Electricity",47
"585","Taiwan, China",NA,"Getting.Electricity",3
"586","Lithuania","Central and Eastern Europe","Getting.Electricity",33
"587","Ireland","Western Europe","Getting.Electricity",35
"588","Canada","North America","Getting.Electricity",105
"589","Latvia","Central and Eastern Europe","Getting.Electricity",62
"590","Germany","Western Europe","Getting.Electricity",5
"591","United Arab Emirates","Middle East and Northern Africa","Getting.Electricity",1
"592","Austria","Western Europe","Getting.Electricity",22
"593","Iceland","Western Europe","Getting.Electricity",11
"594","Malaysia","Southeastern Asia","Getting.Electricity",8
"595","Mauritius","Sub-Saharan Africa","Getting.Electricity",51
"596","Thailand","Southeastern Asia","Getting.Electricity",13
"597","Poland","Central and Eastern Europe","Getting.Electricity",54
"598","Spain","Western Europe","Getting.Electricity",42
"599","Portugal","Western Europe","Getting.Electricity",58
"600","Czech Republic","Central and Eastern Europe","Getting.Electricity",15
"601","France","Western Europe","Getting.Electricity",26
"602","Netherlands","Western Europe","Getting.Electricity",52
"603","Switzerland","Western Europe","Getting.Electricity",7
"604","Japan","Eastern Asia","Getting.Electricity",17
"605","Russian Federation",NA,"Getting.Electricity",10
"606","Kazakhstan","Central and Eastern Europe","Getting.Electricity",70
"607","Slovenia","Central and Eastern Europe","Getting.Electricity",19
"608","Belarus","Central and Eastern Europe","Getting.Electricity",25
"609","Slovak Republic",NA,"Getting.Electricity",57
"610","Kosovo","Central and Eastern Europe","Getting.Electricity",106
"611","Rwanda","Sub-Saharan Africa","Getting.Electricity",119
"612","Montenegro","Central and Eastern Europe","Getting.Electricity",127
"613","Serbia","Central and Eastern Europe","Getting.Electricity",96
"614","Moldova","Central and Eastern Europe","Getting.Electricity",80
"615","Romania","Central and Eastern Europe","Getting.Electricity",147
"616","Italy","Western Europe","Getting.Electricity",28
"617","Armenia","Central and Eastern Europe","Getting.Electricity",66
"618","Hungary","Central and Eastern Europe","Getting.Electricity",110
"619","Mexico","Latin America and Caribbean","Getting.Electricity",92
"620","Bulgaria","Central and Eastern Europe","Getting.Electricity",141
"621","Croatia","Central and Eastern Europe","Getting.Electricity",75
"622","Belgium","Western Europe","Getting.Electricity",103
"623","Cyprus","Western Europe","Getting.Electricity",67
"624","Israel","Middle East and Northern Africa","Getting.Electricity",77
"625","Chile","Latin America and Caribbean","Getting.Electricity",44
"626","Brunei Darussalam",NA,"Getting.Electricity",24
"627","Azerbaijan","Central and Eastern Europe","Getting.Electricity",102
"628","Peru","Latin America and Caribbean","Getting.Electricity",63
"629","Colombia","Latin America and Caribbean","Getting.Electricity",81
"630","Turkey","Middle East and Northern Africa","Getting.Electricity",55
"631","Costa Rica","Latin America and Caribbean","Getting.Electricity",21
"632","Mongolia","Eastern Asia","Getting.Electricity",139
"633","Luxembourg","Western Europe","Getting.Electricity",31
"634","Puerto Rico (U.S.)",NA,"Getting.Electricity",69
"635","Albania","Central and Eastern Europe","Getting.Electricity",157
"636","Bahrain","Middle East and Northern Africa","Getting.Electricity",79
"637","Greece","Western Europe","Getting.Electricity",76
"638","Vietnam","Southeastern Asia","Getting.Electricity",64
"639","Morocco","Middle East and Northern Africa","Getting.Electricity",72
"640","Jamaica","Latin America and Caribbean","Getting.Electricity",91
"641","Oman","Middle East and Northern Africa","Getting.Electricity",61
"642","Indonesia","Southeastern Asia","Getting.Electricity",38
"643","El Salvador","Latin America and Caribbean","Getting.Electricity",88
"644","Uzbekistan","Central and Eastern Europe","Getting.Electricity",27
"645","Bhutan","Southern Asia","Getting.Electricity",56
"646","Ukraine","Central and Eastern Europe","Getting.Electricity",128
"647","Kyrgyz Republic",NA,"Getting.Electricity",164
"648","China","Eastern Asia","Getting.Electricity",98
"649","Panama","Latin America and Caribbean","Getting.Electricity",18
"650","Kenya","Sub-Saharan Africa","Getting.Electricity",71
"651","Botswana","Sub-Saharan Africa","Getting.Electricity",124
"652","South Africa","Sub-Saharan Africa","Getting.Electricity",112
"653","Qatar","Middle East and Northern Africa","Getting.Electricity",65
"654","Malta","Western Europe","Getting.Electricity",78
"655","Zambia","Sub-Saharan Africa","Getting.Electricity",155
"656","Bosnia and Herzegovina","Central and Eastern Europe","Getting.Electricity",122
"657","Samoa",NA,"Getting.Electricity",60
"658","Tunisia","Middle East and Northern Africa","Getting.Electricity",48
"659","Tonga",NA,"Getting.Electricity",74
"660","Vanuatu",NA,"Getting.Electricity",86
"661","St. Lucia",NA,"Getting.Electricity",43
"662","Saudi Arabia","Middle East and Northern Africa","Getting.Electricity",59
"663","San Marino",NA,"Getting.Electricity",14
"664","Uruguay","Latin America and Caribbean","Getting.Electricity",50
"665","Seychelles",NA,"Getting.Electricity",134
"666","Kuwait","Middle East and Northern Africa","Getting.Electricity",97
"667","Guatemala","Latin America and Caribbean","Getting.Electricity",36
"668","Dominica",NA,"Getting.Electricity",46
"669","Dominican Republic","Latin America and Caribbean","Getting.Electricity",108
"670","India","Southern Asia","Getting.Electricity",29
"671","Fiji",NA,"Getting.Electricity",84
"672","Trinidad and Tobago","Latin America and Caribbean","Getting.Electricity",33
"673","Jordan","Middle East and Northern Africa","Getting.Electricity",40
"674","Lesotho","Sub-Saharan Africa","Getting.Electricity",152
"675","Nepal","Southern Asia","Getting.Electricity",133
"676","Namibia",NA,"Getting.Electricity",68
"677","Antigua and Barbuda",NA,"Getting.Electricity",39
"678","Paraguay","Latin America and Caribbean","Getting.Electricity",104
"679","Papua New Guinea",NA,"Getting.Electricity",107
"680","Malawi","Sub-Saharan Africa","Getting.Electricity",166
"681","Sri Lanka","Southern Asia","Getting.Electricity",93
"682","Swaziland","Sub-Saharan Africa","Getting.Electricity",159
"683","Philippines","Southeastern Asia","Getting.Electricity",31
"684","West Bank and Gaza",NA,"Getting.Electricity",87
"685","Honduras","Latin America and Caribbean","Getting.Electricity",144
"686","Solomon Islands",NA,"Getting.Electricity",113
"687","Argentina","Latin America and Caribbean","Getting.Electricity",95
"688","Ecuador","Latin America and Caribbean","Getting.Electricity",85
"689","Bahamas, The",NA,"Getting.Electricity",117
"690","Ghana","Sub-Saharan Africa","Getting.Electricity",136
"691","Belize",NA,"Getting.Electricity",83
"692","Uganda","Sub-Saharan Africa","Getting.Electricity",173
"693","Tajikistan","Central and Eastern Europe","Getting.Electricity",171
"694","Iran, Islamic Rep.",NA,"Getting.Electricity",99
"695","Brazil","Latin America and Caribbean","Getting.Electricity",45
"696","Guyana",NA,"Getting.Electricity",132
"697","Cabo Verde",NA,"Getting.Electricity",145
"698","Egypt, Arab Rep.",NA,"Getting.Electricity",89
"699","St. Vincent and the Grenadines",NA,"Getting.Electricity",90
"700","Palau",NA,"Getting.Electricity",140
"701","Nicaragua","Latin America and Caribbean","Getting.Electricity",100
"702","Barbados",NA,"Getting.Electricity",160
"703","Lebanon","Middle East and Northern Africa","Getting.Electricity",123
"704","St. Kitts and Nevis",NA,"Getting.Electricity",94
"705","Cambodia","Southeastern Asia","Getting.Electricity",137
"706","Maldives",NA,"Getting.Electricity",143
"707","Tanzania","Sub-Saharan Africa","Getting.Electricity",82
"708","Mozambique","Sub-Saharan Africa","Getting.Electricity",150
"709","Côte d'Ivoire",NA,"Getting.Electricity",129
"710","Senegal","Sub-Saharan Africa","Getting.Electricity",118
"711","Lao PDR",NA,"Getting.Electricity",149
"712","Grenada",NA,"Getting.Electricity",73
"713","Mali","Sub-Saharan Africa","Getting.Electricity",154
"714","Niger","Sub-Saharan Africa","Getting.Electricity",162
"715","Nigeria","Sub-Saharan Africa","Getting.Electricity",172
"716","Gambia, The",NA,"Getting.Electricity",156
"717","Pakistan","Southern Asia","Getting.Electricity",167
"718","Burkina Faso","Sub-Saharan Africa","Getting.Electricity",179
"719","Marshall Islands",NA,"Getting.Electricity",126
"720","Mauritania","Sub-Saharan Africa","Getting.Electricity",148
"721","Benin","Sub-Saharan Africa","Getting.Electricity",174
"722","Bolivia","Latin America and Caribbean","Getting.Electricity",101
"723","Guinea","Sub-Saharan Africa","Getting.Electricity",158
"724","Djibouti","Sub-Saharan Africa","Getting.Electricity",169
"725","Micronesia, Fed. Sts.",NA,"Getting.Electricity",109
"726","Togo","Sub-Saharan Africa","Getting.Electricity",142
"727","Kiribati",NA,"Getting.Electricity",168
"728","Comoros","Sub-Saharan Africa","Getting.Electricity",135
"729","Zimbabwe","Sub-Saharan Africa","Getting.Electricity",161
"730","Sierra Leone","Sub-Saharan Africa","Getting.Electricity",178
"731","Ethiopia","Sub-Saharan Africa","Getting.Electricity",125
"732","Madagascar","Sub-Saharan Africa","Getting.Electricity",184
"733","Cameroon","Sub-Saharan Africa","Getting.Electricity",121
"734","Burundi","Sub-Saharan Africa","Getting.Electricity",182
"735","Suriname","Latin America and Caribbean","Getting.Electricity",131
"736","Algeria","Middle East and Northern Africa","Getting.Electricity",120
"737","Gabon","Sub-Saharan Africa","Getting.Electricity",170
"738","Iraq","Middle East and Northern Africa","Getting.Electricity",116
"739","São Tomé and Príncipe",NA,"Getting.Electricity",115
"740","Sudan","Sub-Saharan Africa","Getting.Electricity",110
"741","Myanmar","Southeastern Asia","Getting.Electricity",151
"742","Liberia","Sub-Saharan Africa","Getting.Electricity",176
"743","Equatorial Guinea",NA,"Getting.Electricity",146
"744","Syrian Arab Republic",NA,"Getting.Electricity",153
"745","Angola","Sub-Saharan Africa","Getting.Electricity",165
"746","Guinea-Bissau",NA,"Getting.Electricity",180
"747","Bangladesh","Southern Asia","Getting.Electricity",185
"748","Timor-Leste",NA,"Getting.Electricity",114
"749","Congo, Rep.",NA,"Getting.Electricity",181
"750","Chad","Sub-Saharan Africa","Getting.Electricity",177
"751","Haiti","Latin America and Caribbean","Getting.Electricity",138
"752","Congo, Dem. Rep.",NA,"Getting.Electricity",175
"753","Afghanistan","Southern Asia","Getting.Electricity",163
"754","Central African Republic","Sub-Saharan Africa","Getting.Electricity",183
"755","Libya","Middle East and Northern Africa","Getting.Electricity",130
"756","Yemen, Rep.",NA,"Getting.Electricity",187
"757","South Sudan",NA,"Getting.Electricity",187
"758","Venezuela, RB",NA,"Getting.Electricity",186
"759","Eritrea",NA,"Getting.Electricity",187
"760","Somalia",NA,"Getting.Electricity",187
"761","New Zealand","Australia and New Zealand","Registering.Property",1
"762","Singapore","Southeastern Asia","Registering.Property",19
"763","Denmark","Western Europe","Registering.Property",11
"764","Korea, Rep.",NA,"Registering.Property",39
"765","Hong Kong SAR, China",NA,"Registering.Property",55
"766","United States","North America","Registering.Property",37
"767","United Kingdom","Western Europe","Registering.Property",47
"768","Norway","Western Europe","Registering.Property",14
"769","Georgia","Central and Eastern Europe","Registering.Property",4
"770","Sweden","Western Europe","Registering.Property",9
"771","Macedonia, FYR",NA,"Registering.Property",48
"772","Estonia","Central and Eastern Europe","Registering.Property",6
"773","Finland","Western Europe","Registering.Property",27
"774","Australia","Australia and New Zealand","Registering.Property",51
"775","Taiwan, China",NA,"Registering.Property",18
"776","Lithuania","Central and Eastern Europe","Registering.Property",3
"777","Ireland","Western Europe","Registering.Property",40
"778","Canada","North America","Registering.Property",33
"779","Latvia","Central and Eastern Europe","Registering.Property",22
"780","Germany","Western Europe","Registering.Property",77
"781","United Arab Emirates","Middle East and Northern Africa","Registering.Property",10
"782","Austria","Western Europe","Registering.Property",31
"783","Iceland","Western Europe","Registering.Property",15
"784","Malaysia","Southeastern Asia","Registering.Property",42
"785","Mauritius","Sub-Saharan Africa","Registering.Property",35
"786","Thailand","Southeastern Asia","Registering.Property",68
"787","Poland","Central and Eastern Europe","Registering.Property",38
"788","Spain","Western Europe","Registering.Property",53
"789","Portugal","Western Europe","Registering.Property",28
"790","Czech Republic","Central and Eastern Europe","Registering.Property",32
"791","France","Western Europe","Registering.Property",100
"792","Netherlands","Western Europe","Registering.Property",30
"793","Switzerland","Western Europe","Registering.Property",16
"794","Japan","Eastern Asia","Registering.Property",52
"795","Russian Federation",NA,"Registering.Property",12
"796","Kazakhstan","Central and Eastern Europe","Registering.Property",17
"797","Slovenia","Central and Eastern Europe","Registering.Property",36
"798","Belarus","Central and Eastern Europe","Registering.Property",5
"799","Slovak Republic",NA,"Registering.Property",7
"800","Kosovo","Central and Eastern Europe","Registering.Property",34
"801","Rwanda","Sub-Saharan Africa","Registering.Property",2
"802","Montenegro","Central and Eastern Europe","Registering.Property",76
"803","Serbia","Central and Eastern Europe","Registering.Property",57
"804","Moldova","Central and Eastern Europe","Registering.Property",20
"805","Romania","Central and Eastern Europe","Registering.Property",45
"806","Italy","Western Europe","Registering.Property",23
"807","Armenia","Central and Eastern Europe","Registering.Property",13
"808","Hungary","Central and Eastern Europe","Registering.Property",29
"809","Mexico","Latin America and Caribbean","Registering.Property",99
"810","Bulgaria","Central and Eastern Europe","Registering.Property",67
"811","Croatia","Central and Eastern Europe","Registering.Property",59
"812","Belgium","Western Europe","Registering.Property",138
"813","Cyprus","Western Europe","Registering.Property",92
"814","Israel","Middle East and Northern Africa","Registering.Property",130
"815","Chile","Latin America and Caribbean","Registering.Property",61
"816","Brunei Darussalam",NA,"Registering.Property",136
"817","Azerbaijan","Central and Eastern Europe","Registering.Property",21
"818","Peru","Latin America and Caribbean","Registering.Property",44
"819","Colombia","Latin America and Caribbean","Registering.Property",60
"820","Turkey","Middle East and Northern Africa","Registering.Property",46
"821","Costa Rica","Latin America and Caribbean","Registering.Property",49
"822","Mongolia","Eastern Asia","Registering.Property",50
"823","Luxembourg","Western Europe","Registering.Property",88
"824","Puerto Rico (U.S.)",NA,"Registering.Property",153
"825","Albania","Central and Eastern Europe","Registering.Property",103
"826","Bahrain","Middle East and Northern Africa","Registering.Property",25
"827","Greece","Western Europe","Registering.Property",145
"828","Vietnam","Southeastern Asia","Registering.Property",63
"829","Morocco","Middle East and Northern Africa","Registering.Property",86
"830","Jamaica","Latin America and Caribbean","Registering.Property",128
"831","Oman","Middle East and Northern Africa","Registering.Property",54
"832","Indonesia","Southeastern Asia","Registering.Property",106
"833","El Salvador","Latin America and Caribbean","Registering.Property",69
"834","Uzbekistan","Central and Eastern Europe","Registering.Property",73
"835","Bhutan","Southern Asia","Registering.Property",56
"836","Ukraine","Central and Eastern Europe","Registering.Property",64
"837","Kyrgyz Republic",NA,"Registering.Property",8
"838","China","Eastern Asia","Registering.Property",41
"839","Panama","Latin America and Caribbean","Registering.Property",83
"840","Kenya","Sub-Saharan Africa","Registering.Property",125
"841","Botswana","Sub-Saharan Africa","Registering.Property",81
"842","South Africa","Sub-Saharan Africa","Registering.Property",107
"843","Qatar","Middle East and Northern Africa","Registering.Property",26
"844","Malta","Western Europe","Registering.Property",147
"845","Zambia","Sub-Saharan Africa","Registering.Property",149
"846","Bosnia and Herzegovina","Central and Eastern Europe","Registering.Property",97
"847","Samoa",NA,"Registering.Property",66
"848","Tunisia","Middle East and Northern Africa","Registering.Property",93
"849","Tonga",NA,"Registering.Property",160
"850","Vanuatu",NA,"Registering.Property",80
"851","St. Lucia",NA,"Registering.Property",105
"852","Saudi Arabia","Middle East and Northern Africa","Registering.Property",24
"853","San Marino",NA,"Registering.Property",78
"854","Uruguay","Latin America and Caribbean","Registering.Property",112
"855","Seychelles",NA,"Registering.Property",62
"856","Kuwait","Middle East and Northern Africa","Registering.Property",70
"857","Guatemala","Latin America and Caribbean","Registering.Property",85
"858","Dominica",NA,"Registering.Property",164
"859","Dominican Republic","Latin America and Caribbean","Registering.Property",79
"860","India","Southern Asia","Registering.Property",154
"861","Fiji",NA,"Registering.Property",58
"862","Trinidad and Tobago","Latin America and Caribbean","Registering.Property",151
"863","Jordan","Middle East and Northern Africa","Registering.Property",72
"864","Lesotho","Sub-Saharan Africa","Registering.Property",109
"865","Nepal","Southern Asia","Registering.Property",84
"866","Namibia",NA,"Registering.Property",175
"867","Antigua and Barbuda",NA,"Registering.Property",118
"868","Paraguay","Latin America and Caribbean","Registering.Property",75
"869","Papua New Guinea",NA,"Registering.Property",122
"870","Malawi","Sub-Saharan Africa","Registering.Property",96
"871","Sri Lanka","Southern Asia","Registering.Property",157
"872","Swaziland","Sub-Saharan Africa","Registering.Property",115
"873","Philippines","Southeastern Asia","Registering.Property",114
"874","West Bank and Gaza",NA,"Registering.Property",94
"875","Honduras","Latin America and Caribbean","Registering.Property",91
"876","Solomon Islands",NA,"Registering.Property",152
"877","Argentina","Latin America and Caribbean","Registering.Property",117
"878","Ecuador","Latin America and Caribbean","Registering.Property",74
"879","Bahamas, The",NA,"Registering.Property",167
"880","Ghana","Sub-Saharan Africa","Registering.Property",119
"881","Belize",NA,"Registering.Property",132
"882","Uganda","Sub-Saharan Africa","Registering.Property",124
"883","Tajikistan","Central and Eastern Europe","Registering.Property",90
"884","Iran, Islamic Rep.",NA,"Registering.Property",87
"885","Brazil","Latin America and Caribbean","Registering.Property",131
"886","Guyana",NA,"Registering.Property",110
"887","Cabo Verde",NA,"Registering.Property",71
"888","Egypt, Arab Rep.",NA,"Registering.Property",119
"889","St. Vincent and the Grenadines",NA,"Registering.Property",166
